"","Dist","Prop","PMean","PMedian","Pdiff","GMean","GMedian","Gdiff","n"
"3763","Cayley",0.0633333333333333,0.0649540088718705,0.0769671140184921,-0.0120131051466216,0.0628907479651875,0.0555714625014294,0.0073192854637581,300
"3764","Cayley",0.0533333333333333,0.0576453764377123,0.0570123148477713,0.000633061589941003,0.0541865454491403,0.0536555050056493,0.000531040443490997,300
"3765","Cayley",0.04,0.102002170471148,0.139243335881867,-0.037241165410719,0.0869532312492187,0.115917967924548,-0.0289647366753293,300
"3766","Cayley",0.0666666666666667,0.146070081765959,0.15982652764207,-0.013756445876111,0.131342684632815,0.146605375723922,-0.015262691091107,300
"3767","Cayley",0.0366666666666667,0.0284141177759483,0.0413771445383573,-0.012963026762409,0.0342594597937729,0.0326243565881856,0.0016351032055873,300
"3768","Cayley",0.0733333333333333,0.0923564556391291,0.118113192830343,-0.0257567371912139,0.0825935190925974,0.100010044022061,-0.0174165249294636,300
"3769","Cayley",0.05,0.0813997032004528,0.129015682341242,-0.0476159791407892,0.0771563332713403,0.108830375134808,-0.0316740418634677,300
"3770","Cayley",0.07,0.107252872320878,0.117111037888385,-0.009858165567507,0.10300485797782,0.104289329435003,-0.00128447145718301,300
"3771","Cayley",0.05,0.126832390251875,0.133884697236854,-0.007052306984979,0.134053466592726,0.134628776409485,-0.000575309816759018,300
"3772","Cayley",0.05,0.0597948026007785,0.0730405565839349,-0.0132457539831564,0.0550411910835721,0.0594043562867395,-0.0043631652031674,300
"3773","Cayley",0.0633333333333333,0.0760396255756406,0.0592415386610228,0.0167980869146178,0.0948633095467272,0.0721967044482591,0.0226666050984681,300
"3774","Cayley",0.0666666666666667,0.0681066608318854,0.0738708711253348,-0.00576421029344941,0.0544113284446333,0.0606748860156424,-0.0062635575710091,300
"3775","Cayley",0.0866666666666667,0.143488030508291,0.171096427561578,-0.027608397053287,0.114704533396272,0.148948302736471,-0.034243769340199,300
"3776","Cayley",0.0566666666666667,0.144358294377756,0.20106448116272,-0.056706186784964,0.101363454237719,0.161966652507391,-0.060603198269672,300
"3777","Cayley",0.0466666666666667,0.0674057528545124,0.0951088379036811,-0.0277030850491687,0.05095275664475,0.0738089127360006,-0.0228561560912506,300
"3778","Cayley",0.0533333333333333,0.119273478322551,0.123894377209087,-0.004620898886536,0.10398524095006,0.112044808529442,-0.008059567579382,300
"3779","Cayley",0.04,0.0699338485820784,0.0710741214603909,-0.00114027287831249,0.0611614321426288,0.0646949637050065,-0.00353353156237771,300
"3780","Cayley",0.0766666666666667,0.102513326359932,0.0548084641026741,0.0477048622572579,0.107828184363813,0.0722952739945952,0.0355329103692178,300
"3781","Cayley",0.0533333333333333,0.108824562419867,0.117082775372574,-0.008258212952707,0.105725958037185,0.11197562170888,-0.00624966367169499,300
"3782","Cayley",0.0766666666666667,0.0790362761845128,0.0971712872639566,-0.0181350110794438,0.0792354329686918,0.0850452066934985,-0.0058097737248067,300
"3783","Cayley",0.0566666666666667,0.0974944889125516,0.102834010173554,-0.0053395212610024,0.0719277873434258,0.0857809558350299,-0.0138531684916041,300
"3784","Cayley",0.05,0.0895864439779223,0.0955143537920071,-0.00592790981408479,0.0906604279850623,0.0855181123461061,0.0051423156389562,300
"3785","Cayley",0.0533333333333333,0.0860554410771422,0.107709722671668,-0.0216542815945258,0.110568176966022,0.109706273611588,0.000861903354434007,300
"3786","Cayley",0.0766666666666667,0.0515267052637821,0.0580783766837786,-0.0065516714199965,0.0568797593493678,0.0547454908548397,0.0021342684945281,300
"3787","Cayley",0.0533333333333333,0.110082178229604,0.113885773384651,-0.003803595155047,0.0895036114657031,0.100724675006573,-0.0112210635408699,300
"3788","Cayley",0.0833333333333333,0.0817340510124066,0.0861139979344106,-0.004379946922004,0.0863178845319446,0.0797953008228437,0.0065225837091009,300
"3789","Cayley",0.0566666666666667,0.124670300077069,0.129288705813527,-0.004618405736458,0.101840370826955,0.116437690161193,-0.014597319334238,300
"3790","Cayley",0.04,0.0898363700196936,0.120333607129332,-0.0304972371096384,0.0774139721366941,0.105025411570295,-0.0276114394336009,300
"3791","Cayley",0.0633333333333333,0.0769753193177899,0.059413944562689,0.0175613747551009,0.0864503593109501,0.0686380086223438,0.0178123506886063,300
"3792","Cayley",0.0466666666666667,0.088956992563617,0.127860719478782,-0.038903726915165,0.0530994628437903,0.096198568062423,-0.0430991052186327,300
"3793","Cayley",0.05,0.144551007020019,0.150851169889647,-0.00630016286962801,0.13007960119506,0.140986516303444,-0.010906915108384,300
"3794","Cayley",0.05,0.0229642780483843,0.0239738919813809,-0.0010096139329966,0.0158927742792678,0.0135253063620486,0.0023674679172192,300
"3795","Cayley",0.0566666666666667,0.0452915099795012,0.0728405753970577,-0.0275490654175565,0.0496756735813889,0.0574042439324628,-0.0077285703510739,300
"3796","Cayley",0.0566666666666667,0.0433439484823051,0.0980961643773995,-0.0547522158950944,0.0355559040192416,0.0718688400802543,-0.0363129360610127,300
"3797","Cayley",0.0533333333333333,0.0648493951358998,0.0626115283262456,0.0022378668096542,0.0665091072481957,0.0622448063470505,0.0042643009011452,300
"3798","Cayley",0.0566666666666667,0.056752099161472,0.085021915064373,-0.028269815902901,0.0552835896659029,0.0738160343627536,-0.0185324446968507,300
"3799","Cayley",0.0466666666666667,0.122377029436545,0.117928206453969,0.00444882298257601,0.106702375927237,0.10981307640186,-0.003110700474623,300
"3800","Cayley",0.0766666666666667,0.0295833057176675,0.0321430795548424,-0.0025597738371749,0.0401980808072234,0.0352694636928583,0.0049286171143651,300
"3801","Cayley",0.05,0.155169034249651,0.17001398467628,-0.014844950426629,0.140324116700307,0.157871726395448,-0.017547609695141,300
"3802","Cayley",0.0566666666666667,0.0082595135509515,0.0515670144108139,-0.0433075008598624,0.0230972846829986,0.0234024369126341,-0.000305152229635498,300
"3803","Cayley",0.0533333333333333,0.125117864802552,0.1308750971633,-0.00575723236074802,0.122941875050743,0.11926924440246,0.00367263064828299,300
"3804","Cayley",0.0666666666666667,0.239352510897234,0.300296910449574,-0.06094439955234,0.174497353305258,0.246779626672771,-0.072282273367513,300
"3805","Cayley",0.0566666666666667,0.0667403699878896,0.120338965419894,-0.0535985954320044,0.0409569611728293,0.0699618188383469,-0.0290048576655176,300
"3806","Cayley",0.0533333333333333,0.0325191749309043,0.0415828196140697,-0.00906364468316539,0.0296019209695306,0.0308810091545217,-0.0012790881849911,300
"3807","Cayley",0.0733333333333333,0.118830743867826,0.141914849614595,-0.023084105746769,0.112085778416582,0.121526392066143,-0.009440613649561,300
"3808","Cayley",0.05,0.0571121977746769,0.0892309357528524,-0.0321187379781755,0.0640757699942788,0.0687327824465788,-0.00465701245229999,300
"3809","Cayley",0.0566666666666667,0.154345912649617,0.159195189987051,-0.00484927733743401,0.144988916438056,0.149644416969994,-0.004655500531938,300
"3810","Cayley",0.0566666666666667,0.0174995876283135,0.0382916596964703,-0.0207920720681568,0.0208862901947499,0.0202734070130914,0.000612883181658499,300
"3811","Cayley",0.06,0.0697122981566261,0.0949746759326631,-0.025262377776037,0.0607580727032861,0.0799038114443744,-0.0191457387410883,300
"3812","Cayley",0.06,0.0701844677154891,0.0981093792422606,-0.0279249115267715,0.0583692010334725,0.0763217318269164,-0.0179525307934439,300
"3813","Cayley",0.04,0.081259113726652,0.109796328822553,-0.028537215095901,0.0693440644361287,0.0933548549213193,-0.0240107904851906,300
